Primary Variant,Secondary Variants,Importance,Typical Uses Min,Typical Uses Max,Uses,Semantic Group
java developer,java developers;java development,10,12,36,33,""
software development,software developer;software developers,8,2,6,0,""
programming language,programming languages,8,2,4,0,""
apis,api,7,2,6,0,""
web applications,web application,7,2,4,1,""
automation,automate;automates,7,2,4,0,""
microservices,microservice,7,1,3,0,""
javascript,java script,7,2,6,1,""
hire java developers,hiring java developers;hire java developer;hired java developer,7,2,6,9,""
oracle,"",6,1,2,0,""
java programmers,java programmer,6,2,4,5,""
scalable,scalability,6,2,6,1,""
software engineer,software engineering;software engineers,6,3,7,0,""
java applications,java application,6,1,2,0,""
front-end,frontend;front end;front ends,6,1,3,0,""
agile,"",6,2,4,1,""
hibernate,"",6,1,3,1,""
spring boot,springboot;spring-boot,6,2,4,0,""
years of experience,"",6,1,3,0,""
sql,"",6,1,3,0,""
python,"",6,3,7,3,""
development team,development teams;developer team,6,1,3,0,""
workflows,workflow,6,1,2,0,""
devops,"",6,1,3,0,""
web development,web developer;web developers,6,1,3,1,""
aws,"",6,2,6,0,""
software solutions,software solution,6,1,2,0,""
backend developer,back-end development;backend development;back-end developers,6,1,3,0,""
technical skills,technical skill,5,1,2,0,""
html,"",5,1,3,1,""
price,pricing;prices,5,1,2,0,""
vetted,vetting;vet;vets,5,2,4,13,""
css,"",5,1,3,1,""
java developer jobs,java developer job,5,1,3,0,""
web services,web service,5,1,3,0,""
high-quality,high quality,5,1,3,3,""
ecommerce,e-commerce,5,1,3,0,""
optimization,optimize,5,1,2,0,""
full stack developer,full-stack developer;full stack developers;full-stack developers,5,1,2,0,""
application development,application developer;applications development,5,1,3,0,""
android,"",5,2,6,1,""
full-time,full time;fulltime,5,2,4,2,""
startups,startup;start-up,5,1,3,10,""
high-performance,high performance,5,1,3,1,""
maven,"",5,2,4,0,""
java engineer,java engineers,4,2,4,0,""
restful apis,rest apis;restful api;rest api,4,1,3,0,""
functionality,functionalities;functions;function,4,1,2,0,""
top java developers,top java developer,4,1,2,1,""
docker,dockerized,4,2,4,0,""
node.js,node js;nodejs,4,1,3,0,""
project management,project manager;project managers,4,1,3,0,""
problem-solving,problem solving,4,1,2,0,""
machine learning,machine-learning,4,1,3,0,""
junit,"",4,1,3,0,""
user experience,user experiences,4,1,2,0,""
mobile app development,mobile app developers;mobile app developer,4,1,3,0,""
dedicated java developers,dedicated java developer,4,1,2,0,""
best java developers,best java developer;best java development,4,1,2,1,""
freelance,freelancers;freelancer,4,3,7,5,""
mid-level,mid level,4,2,4,0,""
mentoring,mentor;mentors,4,1,3,0,""
java programming,java programs;java program,4,1,3,0,""
kotlin,"",4,1,3,0,""
hiring process,"",4,1,2,2,""
mysql,"",4,1,3,0,""
healthcare,health care,4,1,3,0,""
senior java developer,senior java developers,4,1,3,1,""
azure,"",4,2,4,0,""
agile methodologies,agile methodology,4,1,2,0,""
big data,"",4,2,4,1,""
technical expertise,"",4,1,2,0,""
streamline,"",4,1,2,0,""
large-scale,large scale,4,1,2,0,""
spring framework,spring frameworks,4,1,2,0,""
business needs,"",4,1,2,0,""
source code,"",4,1,2,0,""
pipelines,pipeline,4,1,2,1,""
java-based,java based,4,1,2,1,""
in demand,in-demand,4,1,2,2,""
angular,"",3,1,3,0,""
jpa,"",3,1,2,0,""
enterprise applications,enterprise application,3,1,2,2,""
java technologies,java technology,3,1,2,0,""
gradle,"",3,1,2,0,""
